Body Regions|A01
Lymphokines|D12.644.276.374.480,D12.776.467.374.480,D23.529.374.480
Leukocyte Migration-Inhibitory Factors|D12.644.276.374.480.428,D12.776.467.374.480.428,D23.125.477,D23.529.374.480.428
Lymphotoxin-alpha|D12.644.276.374.480.438,D12.644.276.374.750.500,D12.776.467.374.480.438,D12.776.467.374.750.500,D23.529.374.480.438,D23.529.374.750.500
Macrophage-Activating Factors|D12.644.276.374.480.615,D12.776.467.374.480.615,D23.529.374.480.615
Macrophage Migration-Inhibitory Factors|D12.644.276.374.480.625,D12.776.467.374.480.625,D23.125.477.500,D23.529.374.480.625
Suppressor Factors, Immunologic|D12.644.276.374.480.700,D12.776.467.374.480.700,D23.529.374.480.700
Transfer Factor|D12.644.276.374.480.750,D12.776.467.374.480.750,D23.529.374.480.750
Monokines|D12.644.276.374.500,D12.776.467.374.500,D23.529.374.500
Oncostatin M|D12.644.276.374.562,D12.776.467.374.562,D23.529.374.562
Thymic Stromal Lymphopoietin|D12.644.276.374.656,D12.776.467.374.656,D23.529.374.656
Transforming Growth Factor beta|D12.644.276.374.687,D12.644.276.954.775,D12.776.467.374.687,D12.776.467.942.775,D23.529.374.687,D23.529.942.775
Transforming Growth Factor beta1|D12.644.276.374.687.100,D12.644.276.954.775.100,D12.776.467.374.687.100,D12.776.467.942.775.100,D23.529.374.687.100,D23.529.942.775.100
Transforming Growth Factor beta2|D12.644.276.374.687.200,D12.644.276.954.775.200,D12.776.467.374.687.200,D12.776.467.942.775.200,D23.529.374.687.200,D23.529.942.775.200
Transforming Growth Factor beta3|D12.644.276.374.687.300,D12.644.276.954.775.300,D12.776.467.374.687.300,D12.776.467.942.775.300,D23.529.942.775.300
Tumor Necrosis Factors|D12.644.276.374.750,D12.776.467.374.750,D23.529.374.750
Cytokine TWEAK|D12.644.276.374.750.155,D12.776.467.374.750.155,D23.529.374.750.155
Lymphotoxin alpha1, beta2 Heterotrimer|D12.644.276.374.750.505,D12.776.467.374.750.505,D23.529.374.750.505
Lymphotoxin-beta|D12.644.276.374.750.515,D12.776.467.374.750.515,D23.529.374.750.515
RANK Ligand|D12.644.276.374.750.562,D12.776.467.374.750.562,D23.529.374.750.562
TNF-Related Apoptosis-Inducing Ligand|D12.644.276.374.750.625,D12.776.467.374.750.625,D23.529.374.750.625
Tumor Necrosis Factor Ligand Superfamily Member 13|D12.644.276.374.750.656,D12.776.467.374.750.656,D23.529.374.750.656
Tumor Necrosis Factor Ligand Superfamily Member 14|D12.644.276.374.750.690,D12.776.467.374.750.690,D23.529.374.750.690
Tumor Necrosis Factor Ligand Superfamily Member 15|D12.644.276.374.750.720,D12.776.467.374.750.710,D23.529.374.750.710
EGF Family of Proteins|D12.644.276.382,D12.776.467.382,D23.529.382
Amphiregulin|D12.644.276.382.249,D12.776.467.382.249,D12.776.543.029,D23.529.382.249
Betacellulin|D12.644.276.382.374,D12.776.467.382.374,D23.529.382.374
Epigen|D12.644.276.382.531,D12.776.467.382.531,D23.529.382.531
Epiregulin|D12.644.276.382.562,D12.776.467.382.562,D23.529.382.562
Heparin-binding EGF-like Growth Factor|D12.644.276.382.625,D12.776.467.382.625,D23.529.382.625
Transforming Growth Factor alpha|D12.644.276.382.750,D12.644.276.963.360,D12.776.467.382.750,D12.776.467.960.360,D23.529.382.750,D23.529.960.360
Endothelial Growth Factors|D12.644.276.390,D12.776.467.390,D23.529.390
Endothelins|D12.644.276.400,D12.776.467.400,D23.529.400
Endothelin-1|D12.644.276.400.225,D12.776.467.400.225,D23.529.400.225
Endothelin-2|D12.644.276.400.235,D12.776.467.400.235,D23.529.400.235
Endothelin-3|D12.644.276.400.245,D12.776.467.400.245,D23.529.400.245
Ephrins|D12.644.276.500,D12.776.467.500,D12.776.543.287,D23.529.500
Ephrin-B1|D12.644.276.500.600,D12.776.467.500.600,D12.776.543.287.600,D23.529.500.600
Ephrin-B2|D12.644.276.500.700,D12.776.467.500.700,D12.776.543.287.700,D23.529.500.700
Ephrin-B3|D12.644.276.500.800,D12.776.467.500.800,D12.776.543.287.800,D23.529.500.800
Fibroblast Growth Factors|D12.644.276.624,D12.776.467.624,D23.529.624
Fibroblast Growth Factor 1|D12.644.276.624.110,D12.776.467.624.110,D23.529.624.110
Fibroblast Growth Factor 2|D12.644.276.624.120,D12.776.467.624.120,D23.529.624.120
Fibroblast Growth Factor 3|D12.644.276.624.130,D12.776.467.624.130,D23.529.624.130
Fibroblast Growth Factor 4|D12.644.276.624.140,D12.776.467.624.140,D12.776.624.664.700.110,D23.529.624.140
Fibroblast Growth Factor 5|D12.644.276.624.150,D12.776.467.624.150,D23.529.624.150
Fibroblast Growth Factor 6|D12.644.276.624.160,D12.776.467.624.160,D12.776.624.664.700.112,D23.529.624.160
Fibroblast Growth Factor 7|D12.644.276.624.170,D12.776.467.624.170,D23.529.624.170
Fibroblast Growth Factor 8|D12.644.276.624.180,D12.776.467.624.180,D23.529.624.180
Fibroblast Growth Factor 9|D12.644.276.624.190,D12.776.467.624.190,D23.529.624.190
Fibroblast Growth Factor 10|D12.644.276.624.200,D12.776.467.624.200,D23.529.624.200
Fibroblast Growth Factor-23|D12.644.276.624.600
Hedgehog Proteins|D12.644.276.671,D12.776.467.671,D23.529.671
Insulin-Like Peptides|D12.644.276.742,D12.776.467.742,D23.529.742
Somatomedins|D12.644.276.742.500,D12.776.124.862,D12.776.467.742.500,D23.529.742.500
Kinins|D12.644.276.812,D12.776.467.812,D23.469.050.375,D23.529.812
Bradykinin|D12.644.276.812.169,D12.644.400.090,D12.644.456.193,D12.776.467.812.169,D12.776.631.650.090,D23.469.050.375.110,D23.529.812.169
Kallidin|D12.644.276.812.169.400,D12.644.456.193.400,D12.776.467.812.169.400,D23.469.050.375.110.400,D23.529.812.169.400
Kininogens|D12.644.276.812.654,D12.776.124.125.635,D12.776.467.812.654,D12.776.811.420,D23.119.630,D23.469.050.375.425,D23.529.812.654
Kininogen, High-Molecular-Weight|D12.644.276.812.654.350,D12.776.124.125.635.480,D12.776.467.812.654.350,D12.776.811.420.350,D23.119.630.480,D23.469.050.375.425.350,D23.529.812.654.350
Kininogen, Low-Molecular-Weight|D12.644.276.812.654.400,D12.776.124.125.635.490,D12.776.467.812.654.400,D12.776.811.420.400,D23.119.630.490,D23.469.050.375.425.400,D23.529.812.654.400
Tachykinins|D12.644.276.812.900,D12.644.400.800,D12.644.456.800,D12.776.467.812.900,D12.776.631.650.800,D23.469.050.375.850,D23.529.812.900
Eledoisin|D12.644.276.812.900.354,D12.644.400.800.354,D12.644.456.800.354,D12.776.467.812.900.354,D12.776.631.650.800.354,D20.888.590.325,D23.469.050.375.850.275,D23.529.812.900.354,D23.946.580.590.325,D23.946.833.590.325
Kassinin|D12.644.276.812.900.475,D12.644.400.800.475,D12.644.456.800.475,D12.776.467.812.900.475,D12.776.631.650.800.475,D23.469.050.375.850.400,D23.529.812.900.475
Neurokinin A|D12.644.276.812.900.500,D12.644.400.800.500,D12.644.456.800.500,D12.776.467.812.900.500,D12.776.631.650.800.500,D23.469.050.375.850.550,D23.529.812.900.500
Neurokinin B|D12.644.276.812.900.550,D12.644.400.800.550,D12.644.456.800.550,D12.776.467.812.900.550,D12.776.631.650.800.550,D23.469.050.375.850.570,D23.529.812.900.550
Physalaemin|D12.644.276.812.900.800,D12.644.400.800.625,D12.644.456.800.745,D12.776.467.812.900.800,D12.776.631.650.800.625,D20.888.033.728,D23.469.050.375.850.780,D23.529.812.900.800,D23.946.833.033.728
Substance P|D12.644.276.812.900.866,D12.644.400.800.750,D12.644.456.800.866,D12.776.467.812.900.866,D12.776.631.650.800.750,D23.469.050.375.850.890,D23.529.812.900.866
Kisspeptins|D12.644.276.836,D12.644.400.430,D12.776.624.776.546
Midkine|D12.644.276.854,D12.776.467.848,D23.529.831
Myokines|D12.644.276.857,D12.776.467.854,D23.529.841
Nerve Growth Factors|D12.644.276.860,D12.776.467.860,D12.776.631.600,D23.529.850
Brain-Derived Neurotrophic Factor|D12.644.276.860.100,D12.776.467.860.100,D12.776.631.600.100,D23.529.850.100
Ciliary Neurotrophic Factor|D12.644.276.860.212,D12.776.467.860.212,D12.776.631.600.212,D23.529.850.212
Glia Maturation Factor|D12.644.276.860.325,D12.776.467.860.325,D12.776.631.600.325,D23.529.850.325
Glial Cell Line-Derived Neurotrophic Factors|D12.644.276.860.381,D12.776.467.860.381,D12.776.631.600.381,D23.529.850.381
Glial Cell Line-Derived Neurotrophic Factor|D12.644.276.860.381.500,D12.776.467.860.381.500,D12.776.631.600.381.500,D23.529.850.381.500
Neurturin|D12.644.276.860.381.750,D12.776.467.860.381.750,D12.776.631.600.381.750,D23.529.850.381.750
Nerve Growth Factor|D12.644.276.860.437,D12.776.467.860.437,D12.776.631.600.437,D23.529.850.437
Netrins|D12.644.276.860.494,D12.776.467.860.494,D12.776.631.600.494,D12.776.860.300.731,D23.125.842,D23.529.850.494
Netrin-1|D12.644.276.860.494.500,D12.776.467.860.494.500,D12.776.631.600.494.500,D12.776.860.300.731.500,D23.125.842.500,D23.529.850.494.500
Neuregulins|D12.644.276.860.550,D12.776.467.860.550,D12.776.631.600.550,D23.529.850.550
Neuregulin-1|D12.644.276.860.550.750,D12.776.467.860.550.750,D12.776.631.600.550.750,D23.529.850.550.750
Neurotrophin 3|D12.644.276.860.775,D12.776.467.860.775,D12.776.631.600.775,D23.529.850.775
Pituitary Adenylate Cyclase-Activating Polypeptide|D12.644.276.860.887,D12.644.400.625,D12.776.467.860.887,D12.776.631.600.887,D12.776.631.650.625,D23.529.850.887
Platelet-Derived Growth Factor|D12.644.276.910,D12.776.124.625,D12.776.467.910,D23.529.910
Proto-Oncogene Proteins c-sis|D12.644.276.910.650,D12.776.124.625.650,D12.776.260.690,D12.776.467.910.650,D12.776.624.664.700.195,D23.529.910.650
Becaplermin|D12.644.276.910.650.500,D12.776.260.690.500,D12.776.467.910.650.500,D23.529.910.650.500
Semaphorins|D12.644.276.923,D12.776.467.923,D23.529.923
Semaphorin-3A|D12.644.276.923.374,D12.776.467.923.374,D23.529.923.374
Serrate-Jagged Proteins|D12.644.276.930,D12.776.157.125.797,D12.776.543.800,D23.529.930
Jagged-1 Protein|D12.644.276.930.500,D12.776.157.125.797.500,D12.776.543.800.500,D23.529.930.500
Jagged-2 Protein|D12.644.276.930.750,D12.776.157.125.797.750,D12.776.543.800.750,D23.529.930.750
TGF-beta Superfamily Proteins|D12.644.276.954,D12.776.467.942,D23.529.942
Bone Morphogenetic Proteins|D12.644.276.954.200,D12.776.467.942.200,D23.529.942.200
Bone Morphogenetic Protein 2|D12.644.276.954.200.200,D12.776.467.942.200.200,D23.529.942.200.200
Bone Morphogenetic Protein 3|D12.644.276.954.200.300,D12.776.467.942.200.300,D23.529.942.200.300
Bone Morphogenetic Protein 4|D12.644.276.954.200.400,D12.776.467.942.200.400,D23.529.942.200.400
Bone Morphogenetic Protein 5|D12.644.276.954.200.500,D12.776.467.942.200.500,D23.529.942.200.500
Bone Morphogenetic Protein 6|D12.644.276.954.200.600,D12.776.467.942.200.600,D23.529.942.200.600
Bone Morphogenetic Protein 7|D12.644.276.954.200.700,D12.776.467.942.200.700,D23.529.942.200.700
Bone Morphogenetic Protein 15|D12.644.276.954.200.900,D12.644.276.954.300.049,D12.776.467.942.200.900,D12.776.467.942.300.049,D23.529.942.200.900,D23.529.942.300.049
Growth Differentiation Factor 2|D12.644.276.954.200.910,D12.644.276.954.300.200,D12.776.467.942.200.910,D12.776.467.942.300.200,D23.529.942.200.910,D23.529.942.300.200
Growth Differentiation Factor 10|D12.644.276.954.200.950,D12.644.276.954.300.900,D12.776.467.942.200.950,D12.776.467.942.300.900,D23.529.942.200.950,D23.529.942.300.900
Growth Differentiation Factors|D12.644.276.954.300,D12.776.467.942.300,D23.529.942.300
Growth Differentiation Factor 1|D12.644.276.954.300.100,D12.644.276.954.550.100,D12.776.467.942.300.100,D12.776.467.942.550.100,D23.529.942.300.100,D23.529.942.550.100
Growth Differentiation Factor 3|D12.644.276.954.300.300,D12.644.276.954.550.300,D12.776.467.942.300.300,D12.776.467.942.550.300,D23.529.942.300.300,D23.529.942.550.300
Growth Differentiation Factor 5|D12.644.276.954.300.500,D12.776.467.942.300.500,D23.529.942.300.500
Growth Differentiation Factor 6|D12.644.276.954.300.600,D12.776.467.942.300.600,D23.529.942.300.600
Growth Differentiation Factor 9|D12.644.276.954.300.800,D12.776.467.942.300.800,D23.529.942.300.800
Myostatin|D12.644.276.954.300.925,D12.776.467.942.300.925,D23.529.942.300.925
Nodal Signaling Ligands|D12.644.276.954.550,D12.776.467.942.550,D23.529.942.550
Left-Right Determination Factors|D12.644.276.954.550.475,D12.776.467.942.550.475,D23.529.942.550.475
Nodal Protein|D12.644.276.954.550.650,D12.776.467.942.550.650,D23.529.942.550.650
Transforming Growth Factors|D12.644.276.963,D12.776.467.960,D23.529.960
Intracellular Signaling Peptides and Proteins|D12.644.360,D12.776.476
Activating Transcription Factor 6|D12.644.360.011,D12.776.260.108.061.968,D12.776.476.011,D12.776.930.127.061.968
Adaptor Proteins, Signal Transducing|D12.644.360.024,D12.776.157.057,D12.776.476.024
14-3-3 Proteins|D12.644.360.024.050,D12.776.157.057.002,D12.776.476.024.050
A Kinase Anchor Proteins|D12.644.360.024.065,D12.776.157.057.003,D12.776.476.024.069
Angiomotins|D12.644.360.024.082,D12.776.476.024.087
Arrestins|D12.644.360.024.098,D12.776.157.057.005,D12.776.306.090,D12.776.476.024.104,D12.776.543.090
Arrestin|D12.644.360.024.098.050,D12.776.157.057.005.050,D12.776.306.090.050,D12.776.476.024.104.050,D12.776.543.090.050,D23.050.301.280
beta-Arrestins|D12.644.360.024.098.525,D12.776.157.057.005.525,D12.776.476.024.104.525,D12.776.543.090.525
beta-Arrestin 1|D12.644.360.024.098.525.500,D12.776.157.057.005.525.500,D12.776.476.024.104.525.500,D12.776.543.090.525.500
beta-Arrestin 2|D12.644.360.024.098.525.750,D12.776.157.057.005.525.750,D12.776.476.024.104.525.750,D12.776.543.090.525.750
CARD Signaling Adaptor Proteins|D12.644.360.024.131,D12.644.360.075.358,D12.776.157.057.006,D12.776.476.024.139,D12.776.476.075.358
Apoptotic Protease-Activating Factor 1|D12.644.360.024.131.124,D12.644.360.075.358.124,D12.776.157.057.006.124,D12.776.476.024.139.124,D12.776.476.075.358.124
B-Cell CLL-Lymphoma 10 Protein|D12.644.360.024.131.140,D12.644.360.075.358.140,D12.776.157.057.006.140,D12.776.476.024.139.140,D12.776.476.075.358.140
CRADD Signaling Adaptor Protein|D12.644.360.024.131.186,D12.644.360.024.285.050,D12.644.360.024.500.050,D12.644.360.075.358.186,D12.644.360.075.421.050,D12.776.157.057.006.186,D12.776.157.057.018.050,D12.776.157.057.500.050,D12.776.476.024.139.186,D12.776.476.024.320.050,D12.776.476.024.500.050,D12.776.476.075.358.186,D12.776.476.075.421.050
Nod1 Signaling Adaptor Protein|D12.644.360.024.131.249,D12.644.360.024.313.249,D12.644.360.075.358.249,D12.644.360.539.500.249,D12.776.157.057.006.249,D12.776.157.057.078.249,D12.776.476.024.139.249,D12.776.476.024.391.249,D12.776.476.075.358.249
Nod2 Signaling Adaptor Protein|D12.644.360.024.131.500,D12.644.360.024.313.500,D12.644.360.075.358.500,D12.644.360.539.500.500,D12.776.157.057.006.500,D12.776.157.057.078.500,D12.776.476.024.139.500,D12.776.476.024.391.500,D12.776.476.075.358.500
Caveolin 1|D12.644.360.024.264,D12.776.157.057.010,D12.776.476.024.280,D12.776.543.990.100.500,D12.776.744.287
Caveolin 2|D12.644.360.024.272,D12.776.157.057.012,D12.776.476.024.295,D12.776.543.990.100.750,D12.776.744.356
Crk-Associated Substrate Protein|D12.644.360.024.282,D12.776.157.057.016,D12.776.476.024.316,D12.776.744.425
Death Domain Receptor Signaling Adaptor Proteins|D12.644.360.024.285,D12.644.360.075.421,D12.776.157.057.018,D12.776.476.024.320,D12.776.476.075.421
CASP8 and FADD-Like Apoptosis Regulating Protein|D12.644.360.024.285.024,D12.644.360.024.500.024,D12.644.360.075.421.024,D12.776.157.057.018.024,D12.776.476.075.421.024
Edar-Associated Death Domain Protein|D12.644.360.024.285.100,D12.644.360.024.500.061,D12.644.360.075.421.100,D12.776.157.057.018.100,D12.776.157.057.500.061,D12.776.476.024.320.100,D12.776.476.024.500.061,D12.776.476.075.421.100
Fas-Associated Death Domain Protein|D12.644.360.024.285.200,D12.644.360.024.500.124,D12.644.360.075.421.200,D12.776.157.057.018.200,D12.776.157.057.500.124,D12.776.476.024.320.550,D12.776.476.024.500.124,D12.776.476.075.421.200
TNF Receptor-Associated Death Domain Protein|D12.644.360.024.285.600,D12.644.360.024.500.249,D12.644.360.075.421.600,D12.776.157.057.018.600,D12.776.157.057.500.249,D12.776.476.024.320.775,D12.776.476.024.500.249,D12.776.476.075.421.600
Dishevelled Proteins|D12.644.360.024.288,D12.776.157.057.028,D12.776.476.024.330
GRB2 Adaptor Protein|D12.644.360.024.290,D12.776.157.057.041,D12.776.476.024.377
GRB7 Adaptor Protein|D12.644.360.024.299,D12.776.157.057.043,D12.776.476.024.379
GRB10 Adaptor Protein|D12.644.360.024.300,D12.776.157.057.039,D12.776.476.024.380
Insulin Receptor Substrate Proteins|D12.644.360.024.301,D12.776.157.057.045,D12.776.476.024.382
Interferon Regulatory Factors|D12.644.360.024.302,D12.776.157.057.050,D12.776.260.504,D12.776.476.024.385,D12.776.930.332
Interferon Regulatory Factor-1|D12.644.360.024.302.124,D12.776.157.057.050.124,D12.776.260.108.374,D12.776.260.504.124,D12.776.476.024.385.124,D12.776.930.127.374,D12.776.930.332.124
Interferon Regulatory Factor-2|D12.644.360.024.302.249,D12.776.157.057.050.249,D12.776.260.504.249,D12.776.476.024.385.249,D12.776.930.332.249
Interferon Regulatory Factor-3|D12.644.360.024.302.374,D12.776.157.057.050.374,D12.776.260.504.374,D12.776.476.024.385.374,D12.776.744.562,D12.776.930.332.374
Interferon Regulatory Factor-7|D12.644.360.024.302.437,D12.776.157.057.050.437,D12.776.260.504.437,D12.776.476.024.385.437,D12.776.744.631,D12.776.930.332.437
Interferon-Stimulated Gene Factor 3, gamma Subunit|D12.644.360.024.302.500,D12.644.360.024.303.750,D12.776.157.057.050.500,D12.776.157.057.061.750,D12.776.260.504.500,D12.776.260.513.500,D12.776.476.024.385.500,D12.776.476.024.386.750,D12.776.930.332.500,D12.776.930.354.500
Interferon-Stimulated Gene Factor 3|D12.644.360.024.303,D12.776.157.057.061,D12.776.260.513,D12.776.476.024.386,D12.776.930.354
Interferon-Stimulated Gene Factor 3, alpha Subunit|D12.644.360.024.303.500,D12.776.157.057.061.500,D12.776.260.513.249,D12.776.476.024.386.500,D12.776.930.354.249
STAT1 Transcription Factor|D12.644.360.024.303.500.500,D12.644.360.024.342.100,D12.776.157.057.061.500.500,D12.776.157.057.186.100,D12.776.260.513.249.500,D12.776.476.024.386.500.500,D12.776.476.024.430.100,D12.776.930.354.249.500,D12.776.930.840.100
STAT2 Transcription Factor|D12.644.360.024.303.500.750,D12.644.360.024.342.200,D12.776.157.057.061.500.750,D12.776.157.057.186.200,D12.776.260.513.249.750,D12.776.476.024.386.500.750,D12.776.476.024.430.200,D12.776.930.354.249.750,D12.776.930.840.200
Kelch-Like ECH-Associated Protein 1|D12.644.360.024.306,D12.776.157.057.067,D12.776.476.024.387
Myeloid Differentiation Factor 88|D12.644.360.024.311,D12.776.157.057.074,D12.776.476.024.390
Nod Signaling Adaptor Proteins|D12.644.360.024.313,D12.644.360.539.500,D12.776.157.057.078,D12.776.476.024.391
Nuclear Receptor Coactivators|D12.644.360.024.314,D12.776.157.057.080,D12.776.476.024.394,D12.776.660.675,D12.776.930.617
Nuclear Receptor Coactivator 2|D12.644.360.024.314.200,D12.776.157.057.080.200,D12.776.476.024.394.200,D12.776.660.675.200,D12.776.930.617.200
Peroxisome Proliferator-Activated Receptor Gamma Coactivator 1-alpha|D12.644.360.024.314.650,D12.776.157.057.080.650,D12.776.157.725.813.875,D12.776.476.024.394.650,D12.776.660.675.650,D12.776.664.962.813.875,D12.776.930.617.650
Nuclear Receptor Interacting Protein 1|D12.644.360.024.315,D12.776.157.057.086,D12.776.476.024.396,D12.776.660.688
Paxillin|D12.644.360.024.316,D12.776.157.057.092,D12.776.476.024.397,D12.776.512.374,D12.776.744.665
PII Nitrogen Regulatory Proteins|D12.644.360.024.318,D12.776.157.057.110,D12.776.476.024.400
Protein Inhibitors of Activated STAT|D12.644.360.024.319,D12.776.157.057.124,D12.776.476.024.402
Proto-Oncogene Proteins c-crk|D12.644.360.024.320,D12.776.157.057.139,D12.776.476.024.404,D12.776.624.664.700.174
Proto-Oncogene Proteins c-vav|D12.644.360.024.321,D12.644.360.325.300.099.750,D12.776.157.057.144,D12.776.476.024.407,D12.776.476.325.300.099.750,D12.776.624.664.700.198
Rabphilin-3A|D12.644.360.024.322,D12.776.157.057.150,D12.776.476.024.409,D12.776.543.990.012,D12.776.631.656
Retinoblastoma Binding Proteins|D12.644.360.024.328,D12.776.157.057.158,D12.776.476.024.420,D12.776.660.769
E2F1 Transcription Factor|D12.644.360.024.328.049,D12.776.157.057.158.049,D12.776.476.024.420.049,D12.776.660.769.049,D12.776.930.211.500
Retinoblastoma-Binding Protein 1|D12.644.360.024.328.100,D12.776.157.057.158.100,D12.776.476.024.420.100,D12.776.660.769.100
Sequestosome-1 Protein|D12.644.360.024.329,D12.776.094.750,D12.776.157.057.160,D12.776.476.024.422
Shc Signaling Adaptor Proteins|D12.644.360.024.330,D12.776.157.057.162,D12.776.476.024.424
Src Homology 2 Domain-Containing, Transforming Protein 1|D12.644.360.024.330.500,D12.776.157.057.162.500,D12.776.476.024.424.500
Src Homology 2 Domain-Containing, Transforming Protein 2|D12.644.360.024.330.750,D12.776.157.057.162.750,D12.776.476.024.424.750
Src Homology 2 Domain-Containing, Transforming Protein 3|D12.644.360.024.330.875,D12.776.157.057.162.875,D12.776.476.024.424.875
Signaling Lymphocytic Activation Molecule Associated Protein|D12.644.360.024.332,D12.776.157.057.166,D12.776.476.024.426
Smad Proteins|D12.644.360.024.334,D12.776.157.057.170,D12.776.260.713,D12.776.476.024.428,D12.776.930.806
Smad Proteins, Inhibitory|D12.644.360.024.334.200,D12.776.157.057.170.249,D12.776.476.024.428.249
Smad6 Protein|D12.644.360.024.334.200.600,D12.776.157.057.170.249.600,D12.776.476.024.428.249.600,D12.776.930.806.875
Smad7 Protein|D12.644.360.024.334.200.700,D12.776.157.057.170.249.700,D12.776.476.024.428.249.700
Smad Proteins, Receptor-Regulated|D12.644.360.024.334.500,D12.776.157.057.170.500,D12.776.260.713.500,D12.776.476.024.428.500,D12.776.744.741,D12.776.930.806.500
Smad1 Protein|D12.644.360.024.334.500.100,D12.776.157.057.170.500.100,D12.776.260.713.500.100,D12.776.476.024.428.500.100,D12.776.744.741.500,D12.776.930.806.500.100
Smad2 Protein|D12.644.360.024.334.500.200,D12.776.157.057.170.500.200,D12.776.476.024.428.500.200,D12.776.744.741.750,D12.776.930.806.500.200
Smad3 Protein|D12.644.360.024.334.500.300,D12.776.157.057.170.500.300,D12.776.260.713.500.300,D12.776.476.024.428.500.300,D12.776.744.741.875,D12.776.930.806.500.300
Smad5 Protein|D12.644.360.024.334.500.500,D12.776.157.057.170.500.500,D12.776.260.713.500.500,D12.776.476.024.428.500.500,D12.776.744.741.937,D12.776.930.806.500.500
Smad8 Protein|D12.644.360.024.334.500.800,D12.776.157.057.170.500.800,D12.776.260.713.500.800,D12.776.476.024.428.500.800,D12.776.744.741.968,D12.776.930.806.500.800
Smad4 Protein|D12.644.360.024.334.750,D12.776.157.057.170.750,D12.776.260.713.750,D12.776.476.024.428.750,D12.776.624.776.760,D12.776.930.806.750
STAT Transcription Factors|D12.644.360.024.342,D12.776.157.057.186,D12.776.476.024.430,D12.776.930.840
STAT3 Transcription Factor|D12.644.360.024.342.300,D12.776.157.057.186.300,D12.776.476.024.430.300,D12.776.930.840.300
STAT4 Transcription Factor|D12.644.360.024.342.400,D12.776.157.057.186.400,D12.776.476.024.430.400,D12.776.930.840.400
STAT5 Transcription Factor|D12.644.360.024.342.500,D12.776.157.057.186.500,D12.776.476.024.430.500,D12.776.930.840.500
STAT6 Transcription Factor|D12.644.360.024.342.600,D12.776.157.057.186.600,D12.776.476.024.430.600,D12.776.930.840.600
Suppressor of Cytokine Signaling Proteins|D12.644.360.024.374,D12.776.157.057.249,D12.776.476.024.437
Suppressor of Cytokine Signaling 1 Protein|D12.644.360.024.374.500,D12.776.157.057.249.500,D12.776.476.024.437.500
Suppressor of Cytokine Signaling 3 Protein|D12.644.360.024.374.750,D12.776.157.057.249.750,D12.776.476.024.437.750
Syntenins|D12.644.360.024.437,D12.776.157.057.374,D12.776.476.024.468
Transcriptional Coactivator with PDZ-Binding Motif Proteins|D12.644.360.024.469,D12.776.157.057.437,D12.776.476.024.484
Tumor Necrosis Factor Receptor-Associated Peptides and Proteins|D12.644.360.024.500,D12.776.157.057.500,D12.776.476.024.500
TNF Receptor-Associated Factor 1|D12.644.360.024.500.500,D12.776.157.057.500.500,D12.776.476.024.500.500
TNF Receptor-Associated Factor 2|D12.644.360.024.500.750,D12.776.157.057.500.750,D12.776.476.024.500.750
TNF Receptor-Associated Factor 3|D12.644.360.024.500.875,D12.776.157.057.500.875,D12.776.476.024.500.875
TNF Receptor-Associated Factor 4|D12.644.360.024.500.906,D12.776.157.057.500.906,D12.776.476.024.500.906
TNF Receptor-Associated Factor 5|D12.644.360.024.500.937,D12.776.157.057.500.937,D12.776.476.024.500.937
TNF Receptor-Associated Factor 6|D12.644.360.024.500.968,D12.776.157.057.500.968,D12.776.476.024.500.968
YAP-Signaling Proteins|D12.644.360.024.750,D12.776.157.057.750,D12.776.476.024.750
Apoptosis Regulatory Proteins|D12.644.360.075,D12.776.476.075
Bcl-2-Like Protein 11|D12.644.360.075.323,D12.776.476.075.323,D12.776.543.116,D12.776.624.664.700.025
Beclin-1|D12.644.360.075.335,D12.776.094.500,D12.776.476.075.335
DCC Receptor|D12.644.360.075.413,D12.776.476.075.413,D12.776.543.750.003.500,D12.776.624.776.021
Survivin|D12.644.360.075.437.625,D12.776.167.576,D12.776.220.600.450.495,D12.776.476.075.437.625
Proto-Oncogene Proteins c-bcl-2|D12.644.360.075.718,D12.776.476.075.718,D12.776.624.664.700.169
bcl-Associated Death Protein|D12.644.360.075.718.100,D12.776.476.075.718.100,D12.776.744.049
bcl-2-Associated X Protein|D12.644.360.075.718.400,D12.776.476.075.718.400
bcl-2 Homologous Antagonist-Killer Protein|D12.644.360.075.718.750,D12.776.476.075.718.425
bcl-X Protein|D12.644.360.075.718.937,D12.776.476.075.718.875
BH3 Interacting Domain Death Agonist Protein|D12.644.360.075.718.968,D12.776.476.075.718.937
Myeloid Cell Leukemia Sequence 1 Protein|D12.644.360.075.718.984,D12.776.476.075.718.968,D12.776.624.664.700.169.500
Circadian Rhythm Signaling Peptides and Proteins|D12.644.360.138,D12.776.476.156
ARNTL Transcription Factors|D12.644.360.138.049,D12.776.260.103.249,D12.776.476.156.100,D12.776.930.125.249
Cryptochromes|D12.644.360.138.150,D12.776.331.180,D12.776.476.156.250,D12.776.765.593.500
Period Circadian Proteins|D12.644.360.138.575,D12.776.157.530.750.687,D12.776.476.156.625,D12.776.543.585.750.687
Cold Shock Proteins and Peptides|D12.644.360.175,D12.776.476.175
Cyclin-Dependent Kinase Inhibitor Proteins|D12.644.360.225,D12.776.167.187,D12.776.476.225,D12.776.624.776.355
Cyclin-Dependent Kinase Inhibitor p15|D12.644.360.225.100,D12.776.167.187.100,D12.776.476.225.100,D12.776.624.776.355.100
